P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Bathrooms,Car_Parking,Status,Product_link,Area_in_sqr_feet,Price_per_sqr_feet
P_332,Sai Darshan Estate,24000000,4,Resale,1,East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/golf-view-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303734323734,2100,10435
P_333,Saawariya Properties,15800000,3,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-sanskriti-apartments-dwarka-sector-19-new-delhi-pdpid-4d4235303334363439,1700,8778
P_334,Saawariya Properties,26800000,4,Resale,3,North - East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dream-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303130393335,1850,12182
P_335,Gupta Properties,14500000,3,Resale,7,North - East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/sansad-vihar-apartment-dwarka-sector-3-new-delhi-pdpid-4d4235303130363631,1300,9667
P_336,Shri Sai Dwar Real Estate,26000000,4,Resale,2,North - East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/guru-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303130383231,2450,10612
P_337,Vikas,16000000,3,Resale,5,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-atulya-apartment-dwarka-sector-18-new-delhi-pdpid-4d4235303130363434,1650,8421
P_338,MV Properties,13500000,2,New Property,2,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,800,13500
P_339,MV Properties,16900000,3,Resale,5,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/vrindavan-dwarka-dwarka-sector-6-new-delhi-pdpid-4d4235303131333533,1700,9389
P_340,Bajrang Properties & Developers,12000000,3,New Property,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-residential-plots-sector-viii-dwarka-sector-8-new-delhi-pdpid-4d4235313639373835,1080,10909
P_341,Yaashvi Group,17500000,3,Resale,8,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/ashadeep-apartment-dwarka-sector-2-new-delhi-pdpid-4d4235303130373331,1700,9722
P_342,P K Properties,4600000,3,New Property,1,North,Semi-Furnished,Freehold,2,1,Ready to Move,,850,3407
P_343,Shree Sai Dev Bhoomi Uttarakhand Property,4000000,3,Resale,2,North,Furnished,Freehold,2,1,Ready to Move,,900,4211
P_344,Shri Shyam Properties,15500000,2,Resale,2,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-flats-sector-e-pocket-1-vasant-kunj-new-delhi-pdpid-4d4235303830303330,1150,11923
P_345,Shri Shyam Properties,28000000,3,Resale,4,East,Semi-Furnished,Freehold,3,2,Ready to Move,,1600,15556
P_346,Shri Shyam Properties,21700000,4,Resale,3,North - East,Unfurnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/hamdam-apartment-dwarka-sector-18-new-delhi-pdpid-4d4235303131313035,1920,9864
P_347,Sharing Real Estate,45000000,3,New Property,10,North - West,Semi-Furnished,Freehold,3,2,Under Construction,https://www.magicbricks.com/dlf-one-midtown-moti-nagar-new-delhi-pdpid-4d4235333234373937,1700,19600
P_348,Marwaha Associates,24000000,3,New Property,4,West,Unfurnished,Freehold,3,1,Ready to Move,,140,17778
P_349,Kaushik Associates,21700000,3,Resale,6,East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/beverly-park-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303130353831,1640,10585
P_350,Indian Homes,15300000,3,Resale,4,North - East,Semi-Furnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/ayudh-vihar-dwarka-sector-13-new-delhi-pdpid-4d4235303131333030,1600,9000
P_351,Indian Homes,36500000,4,Resale,9,North,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/shivani-apartments-dwarka-sector-12-new-delhi-pdpid-4d4235303131303837,1800,15208
P_352,Kapeeshwar Estate,22900000,4,Resale,4,North - West,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/best-paradise-the-bhartiya-dwarka-new-delhi-pdpid-4d4235303734323833,2190,8642
P_353,Saraswati Associates,16500000,3,New Property,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/roop-villa-apartment-dwarka-sector-19-new-delhi-pdpid-4d4235303131323338,1520,10000
P_354,Smart Deal,23800000,4,Resale,8,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dream-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303130393335,2000,10818
P_355,Smart Deal,21000000,4,New Property,7,North - East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/gulistan-apartment-dwarka-sector-13-new-delhi-pdpid-4d4235303734323632,2200,9545
P_356,Shri Siddhi Vinayak Real Estate,3200000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/shri-siddhi-vinayak-homes-uttam-nagar-new-delhi-pdpid-4d4235303939323333,725,4267
P_357,Magnum Properties,15800000,3,Resale,0,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-ekta-apartment-dwarka-sector-3-new-delhi-pdpid-4d4235303130373631,1650,8541
P_358,Magnum Properties,37000000,3,New Property,1,East,Unfurnished,Freehold,3,1,Ready to Move,,233,10000
P_359,Magnum Properties,5000000,2,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,720,6250
P_360,Magnum Properties,32500000,3,Resale,3,North - East,Semi-Furnished,Freehold,3,2,Ready to Move,,1350,25000
P_361,Espacio Realty,18500000,3,Resale,0,East,Semi-Furnished,Power Of Attorney,3,1,Ready to Move,,1800,7400
P_362,Espacio Realty,80000000,4,Resale,3,North,Semi-Furnished,Freehold,4,2,Ready to Move,,6000,12308
P_363,Singh Associates,4600000,1,Resale,0,East,Furnished,Freehold,1,1,Ready to Move,https://www.magicbricks.com/sahid-bhagat-singh-apartment-dwarka-new-delhi-pdpid-4d4235303334353634,400,10222
P_364,Akhilesh Shukla 1,140000000,4,New Property,1,North - West,Unfurnished,Freehold,5,1,Ready to Move,,4050,19444
P_365,Akhilesh Shukla 2,4500000,3,New Property,1,North,Semi-Furnished,Freehold,2,1,Ready to Move,,900,4891
P_366,Akhilesh Shukla 3,19000000,3,New Property,1,North,Semi-Furnished,Freehold,3,1,Ready to Move,,1200,10000
P_367,Akhilesh Shukla 4,11100000,2,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1000,9652
P_368,Akhilesh Shukla 5,46700000,3,Resale,1,North,Unfurnished,Freehold,3,1,Ready to Move,,225,20756
P_369,Kaushik Associates,21700000,3,Resale,6,East,Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/beverly-park-apartments-dwarka-sector-22-new-delhi-pdpid-4d4235303130353831,1640,10585
P_370,Kaushik Associates,15300000,3,Resale,4,North - East,Semi-Furnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/ayudh-vihar-dwarka-sector-13-new-delhi-pdpid-4d4235303131333030,1600,9000
P_371,Indian Homes 1,36500000,4,Resale,9,North,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/shivani-apartments-dwarka-sector-12-new-delhi-pdpid-4d4235303131303837,1800,15208
P_372,Indian Homes 2,37000000,3,New Property,1,East,Unfurnished,Freehold,3,1,Ready to Move,,233,10000
P_373,Indian Homes 3,5000000,2,New Property,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,720,6250
P_374,Omdev Homes 2,32500000,3,Resale,3,North - East,Semi-Furnished,Freehold,3,2,Ready to Move,,1350,25000
P_375,Omdev Homes 1,11100000,2,Resale,3,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1000,9652
P_376,Omdev Homes 0,46700000,3,Resale,1,North,Unfurnished,Freehold,3,1,Ready to Move,,225,20756
P_377,Omdev Homes 1,40000000,3,New Property,0,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,1650,24242
P_378,Anmol Properties,8800000,2,Resale,3,North - East,Unfurnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/dda-mig-flats-pocket-6-dwarka-sector-12-new-delhi-pdpid-4d4235303734353936,800,8800
P_379,Anmol Properties,17000000,3,Resale,5,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/ashadeep-apartment-dwarka-sector-2-new-delhi-pdpid-4d4235303130373331,1800,9444
P_380,Anmol Properties,45000000,4,Resale,1,South,Semi-Furnished,Freehold,4,2,Ready to Move,,2200,18000
P_381,Anmol Properties,16900000,3,Resale,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/bhrigu-apartments-dwarka-sector-9-new-delhi-pdpid-4d4235303130373034,1900,8895
P_382,Anmol Properties,5000000,3,New Property,4,North,Semi-Furnished,Freehold,2,1,Ready to Move,,85,5556
P_383,Ekta Property,6200000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1100,5103
P_384,Ekta Property,48500000,4,Resale,1,North - East,Unfurnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/dda-geetanjali-enclave-project-geetanjali-enclave-new-delhi-pdpid-4d4235303039383330,2800,17321
P_385,Ekta Property,23500000,4,Resale,1,East,Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/chandanwari-apartments-dwarka-sector-10-new-delhi-pdpid-4d4235303130373730,1800,11190
P_386,Ekta Property,11500000,3,Resale,3,North - West,Semi-Furnished,Freehold,2,1,Ready to Move,,1000,10222
P_387,Ekta Property,6500000,2,Resale,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,700,8667
P_388,Ekta Property,2500000,1,New Property,1,North - East,Semi-Furnished,Leasehold,1,1,Ready to Move,,400,5556
P_389,Ekta Property,30000000,3,Resale,1,North - West,Unfurnished,Freehold,3,1,Ready to Move,,1800,17143
P_390,Ekta Property,25000000,3,Resale,0,East,Unfurnished,Freehold,3,1,Ready to Move,,1800,13889
P_391,Ekta Property,39000000,4,Resale,2,North,Semi-Furnished,Freehold,4,1,Ready to Move,,2200,16957
P_392,Ekta Property,21500000,3,Resale,5,North - West,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/cghs-antariksh-apartments-dwarka-new-delhi-pdpid-4d4235303332383439,2000,10750
P_393,Ekta Property,80000000,4,New Property,1,East,Unfurnished,Freehold,5,3,Ready to Move,,3500,22857
P_394,Ekta Property,3500000,2,New Property,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,540,5833
P_395,Ekta Property,14500000,2,Resale,2,North - West,Unfurnished,Freehold,2,1,Ready to Move,,875,16111
P_396,Ekta Property,30000000,3,Resale,2,East,Unfurnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/hauz-khas-apartment-hauz-khas-new-delhi-pdpid-4d4235303039373830,1593,18832
P_397,Ekta Property,52500000,4,Resale,2,North - East,Unfurnished,Freehold,4,2,Ready to Move,,2100,22826
P_398,Hardial Properties,20500000,3,Resale,6,North,Furnished,Freehold,3,1,Ready to Move,,1850,9111
P_399,Hardial Properties,9000000,3,Resale,4,East,Unfurnished,Freehold,2,1,Ready to Move,,920,9000
P_400,Hardial Properties,4000000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,48,7742
P_401,Hardial Properties,70000000,4,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/vasant-vihar-builder-floor-vasant-vihar-new-delhi-pdpid-4d4235303039383237,2000,35000
P_402,Hardial Properties,22000000,3,Resale,2,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1530,14379
P_403,Hardial Properties,4500000,3,Resale,1,North,Semi-Furnished,Power Of Attorney,3,1,Ready to Move,https://www.magicbricks.com/jvts-gardens-chhattarpur-new-delhi-pdpid-4d4235303130363533,1250,10000
P_404,Hardial Properties,8450000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,770,9941
P_405,Hardial Properties,7000000,3,Resale,4,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,900,7551
P_406,Hardial Properties,3700000,A,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,Other,10000
P_407,Hardial Properties,30000000,3,Resale,1,North - West,Unfurnished,Freehold,3,1,Ready to Move,,1800,17143
P_408,Hardial Properties,25000000,3,Resale,0,East,Unfurnished,Freehold,3,1,Ready to Move,,1800,13889
P_409,Hardial Properties,39000000,4,Resale,2,North,Semi-Furnished,Freehold,4,1,Ready to Move,,2200,16957
P_410,Hardial Properties,9000000,3,Resale,4,East,Unfurnished,Freehold,2,1,Ready to Move,,920,9000
P_411,Hardial Properties,4000000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,48,7742
P_412,Hardial Properties,70000000,4,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/vasant-vihar-builder-floor-vasant-vihar-new-delhi-pdpid-4d4235303039383237,2000,35000
P_413,Hardial Properties,3700000,A,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,Other,10000
P_414,Nitin,4600000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,980,4600
P_415,Happy Homes Properties and Builders,3000000,2,Resale,4,East,Semi-Furnished,Power Of Attorney,1,1,Ready to Move,,585,4082
P_416,Happy Homes Properties and Builders,8000000,3,Resale,1,North - East,Unfurnished,Freehold,3,1,Ready to Move,,1100,6667
P_417,Happy Homes Properties and Builders,11500000,2,Resale,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/archana-apartment-paschim-vihar-new-delhi-pdpid-4d4235303835333931,92,12778
P_418,Happy Homes Properties and Builders,6550000,3,New Property,1,West,Semi-Furnished,Freehold,2,1,Ready to Move,,900,6551
P_419,Private property,25000000,3,Resale,3,North,Semi-Furnished,Freehold,2,1,Ready to Move,,180,10000
P_420,Private property,24000000,3,Resale,0,North,Furnished,Freehold,2,1,Ready to Move,,900,24000
P_421,Private property,30000000,2,Resale,0,North,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-hill-view-apartment-vasant-vihar-new-delhi-pdpid-4d4235303839393235,900,20000
P_422,Private property,17500000,4,Resale,3,North,Furnished,Freehold,3,3,Ready to Move,,2000,7955
P_423,Private property,40000000,6,Resale,1,South,Furnished,Freehold,3,1,Ready to Move,,2000,16000
P_424,Private property,4700000,3,Resale,4,East,Unfurnished,Freehold,3,1,Ready to Move,,127,37008
P_425,Private property,7500000,3,Resale,3,South - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1800,3472
P_426,Private property,5500000,3,Resale,3,North - West,Unfurnished,Freehold,2,1,Ready to Move,,990,5046
P_427,Private property,6500000,2,Resale,2,East,Unfurnished,Freehold,2,1,Ready to Move,,600,9848
P_428,Private property,7000000,3,New Property,1,East,Furnished,Freehold,3,1,Ready to Move,,1215,5185
P_429,Private property,7000000,3,Resale,1,North - West,Semi-Furnished,Freehold,2,1,Ready to Move,,880,7778
P_430,Private property,17000000,3,Resale,0,North - East,Semi-Furnished,Freehold,3,5,Ready to Move,https://www.magicbricks.com/kings-bury-apartment-gt-karnal-road-new-delhi-pdpid-4d4235303836373236,1950,7083
P_431,Private property,3000000,2,New Property,4,East,Unfurnished,Freehold,1,1,Ready to Move,,55,5067
P_432,Private property,7200000,3,Resale,1,South,Semi-Furnished,Freehold,2,1,Ready to Move,,891,8000
P_433,Private property,9000000,2,Resale,3,East,Semi-Furnished,Freehold,2,1,Ready to Move,,755,11921
P_434,Private property,36000000,3,Resale,3,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1300,22500
P_435,Private property,18000000,3,Resale,1,East,Unfurnished,Freehold,2,1,Ready to Move,,1300,9730
P_436,Private property,16500000,2,New Property,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,810,18333
P_437,Private property,25000000,3,Resale,4,South - East,Furnished,Freehold,3,2,Ready to Move,https://www.magicbricks.com/dda-ganga-apartment-sector-d-pocket-6-vasant-kunj-new-delhi-pdpid-4d4235303333333733,1400,14706
P_438,Private property,6000000,2,Resale,0,North,Furnished,Freehold,1,1,Ready to Move,,550,9231
P_439,Private property,7020000,2,Resale,1,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,930,7548
P_440,Private property,19000000,4,Resale,0,East,Semi-Furnished,Freehold,3,2,Ready to Move,https://www.magicbricks.com/dda-flats-sarita-vihar-pocket-j-sarita-vihar-pocket-j-new-delhi-pdpid-4d4235323132323231,1700,9500
P_441,Private property,3600000,2,Resale,3,North - East,Unfurnished,Freehold,2,1,Ready to Move,,600,5538
P_442,Private property,6200000,3,New Property,1,East,Semi-Furnished,Power Of Attorney,2,1,Ready to Move,,100,6889
P_443,Deal Realtors,15800000,3,Resale,2,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/parijat-apartment-dwarka-sector-4-new-delhi-pdpid-4d4235303130373931,1600,9294
P_444,Deal Realtors,17000000,3,Resale,0,North - East,Semi-Furnished,Freehold,3,5,Ready to Move,https://www.magicbricks.com/kings-bury-apartment-gt-karnal-road-new-delhi-pdpid-4d4235303836373236,1950,7083
P_445,Deal Realtors,3000000,2,New Property,4,East,Unfurnished,Freehold,1,1,Ready to Move,,55,5067
P_446,Deal Realtors,7200000,3,Resale,1,South,Semi-Furnished,Freehold,2,1,Ready to Move,,891,8000
P_447,Deal Realtors,3600000,2,Resale,3,North - East,Unfurnished,Freehold,2,1,Ready to Move,,600,5538
P_448,Deal Realtors,6200000,3,New Property,1,East,Semi-Furnished,Power Of Attorney,2,1,Ready to Move,,100,6889
P_449,Deal Realtors,15800000,3,Resale,2,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/parijat-apartment-dwarka-sector-4-new-delhi-pdpid-4d4235303130373931,1600,9294
P_450,Private property,9900000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/udap-colony-nehru-nagar-new-delhi-pdpid-4d4235303830303332,850,9252
P_451,Private property,12500000,1,Resale,0,East,Unfurnished,Freehold,1,1,Ready to Move,,1500,10000
P_452,Private property,100000000,4,Resale,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,,400,27778
P_453,Private property,12000000,2,Resale,0,North - West,Furnished,Freehold,2,1,Ready to Move,,1000,12000
P_454,Private property,7000000,3,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,900,7778
P_455,Private property,6500000,2,New Property,1,North,Semi-Furnished,Freehold,2,1,Ready to Move,,620,10000
P_456,Private property,6600000,3,Resale,2,West,Unfurnished,Freehold,2,1,Ready to Move,,950,5280
P_457,Private property,15900000,2,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/rani-jhansi-kunj-keshav-puram-new-delhi-pdpid-4d4235303837313535,910,15950
P_458,Private property,4300000,3,Resale,2,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,950,4300
P_459,Private property,4500000,2,Resale,1,North,Furnished,Freehold,2,1,Ready to Move,,680,6000
P_460,Private property,7000000,1,Resale,1,East,Unfurnished,Freehold,1,1,Ready to Move,https://www.magicbricks.com/dda-lig-flats-narela-new-delhi-pdpid-4d4235303331323739,40,10000
P_461,Private property,4500000,2,Resale,2,South -West,Unfurnished,Freehold,2,1,Ready to Move,,430,6923
P_462,Private property,13000000,3,Resale,0,East,Unfurnished,Freehold,1,1,Ready to Move,,1000,14444
P_463,Private property,5500000,3,Resale,1,North,Furnished,Freehold,3,1,Ready to Move,,1161,4400
P_464,Private property,10000000,2,Resale,2,East,Unfurnished,Freehold,2,1,Ready to Move,,80,13889
P_465,Private property,6000000,3,Resale,3,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1350,10000
P_466,Private property,40000000,4,Resale,Top,East,Semi-Furnished,Freehold,4,1,Ready to Move,,2200,16667
P_467,Private property,13500000,3,Resale,4,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-sfs-flats-pocket-a-mayur-vihar-3-new-delhi-pdpid-4d4235303735373631,1050,9310
P_468,Private property,12100000,2,New Property,2,South - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-flats-sarita-vihar-sarita-vihar-new-delhi-pdpid-4d4235303331393437,1160,9000
P_469,Private property,4500000,1,Resale,3,East,Unfurnished,Freehold,1,1,Ready to Move,,450,10000
P_470,Private property,1600000,1,Resale,1,East,Semi-Furnished,Freehold,1,1,Ready to Move,,50,29091
P_471,Private property,11500000,3,Resale,3,North,Semi-Furnished,Freehold,2,1,Ready to Move,,950,11500
P_472,Private property,18500000,3,Resale,4,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1650,11212
P_473,Private property,5500000,4,Resale,2,North,Semi-Furnished,Freehold,3,1,Ready to Move,,950,5500
P_474,Private property,3000000,1,Resale,1,East,Furnished,Freehold,1,1,Ready to Move,,300,10000
P_475,Private property,5500000,1,New Property,1,South - East,Semi-Furnished,Leasehold,1,1,Ready to Move,,450,13750
P_476,Private property,12500000,3,Resale,1,South - East,Semi-Furnished,Freehold,3,1,Ready to Move,,900,11905
P_477,Private property,3500000,2,Resale,3,East,Semi-Furnished,Freehold,2,1,Ready to Move,,600,5385
P_478,Private property,40000000,4,Resale,2,East,Furnished,Freehold,4,2,Ready to Move,,275,12512
P_479,Private property,8500000,3,Resale,3,East,Furnished,Freehold,2,1,Ready to Move,,1000,7727
P_480,Private property,40000000,4,Resale,Top,East,Semi-Furnished,Freehold,4,1,Ready to Move,,2200,16667
P_481,Private property,13500000,3,Resale,4,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-sfs-flats-pocket-a-mayur-vihar-3-new-delhi-pdpid-4d4235303735373631,1050,9310
P_482,Private property,12100000,2,New Property,2,South - East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dda-flats-sarita-vihar-sarita-vihar-new-delhi-pdpid-4d4235303331393437,1160,9000
P_483,Private property,12500000,3,Resale,1,South - East,Semi-Furnished,Freehold,3,1,Ready to Move,,900,11905
P_484,Private property,3500000,2,Resale,3,East,Semi-Furnished,Freehold,2,1,Ready to Move,,600,5385
P_485,Private property,40000000,4,Resale,2,East,Furnished,Freehold,4,2,Ready to Move,,275,12512
P_486,Private property,8500000,3,Resale,3,East,Furnished,Freehold,2,1,Ready to Move,,1000,7727
P_487,Private property,5500000,3,Resale,3,East,Unfurnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/ansals-laxmi-deep-laxmi-nagar-district-centre-new-delhi-pdpid-4d4235303239373737,1000,5500
P_488,Private property,2000000,2,Resale,4,East,Furnished,Freehold,1,1,Ready to Move,,468,4274
P_489,Private property,5500000,3,New Property,1,South,Semi-Furnished,Freehold,2,2,Ready to Move,,900,5238
P_490,Private property,12500000,3,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1000,11905
P_491,Private property,7000000,3,Resale,2,East,Unfurnished,Freehold,3,1,Ready to Move,,925,6222
P_492,Private property,55000000,4,Resale,2,East,Semi-Furnished,Freehold,4,1,Ready to Move,,3600,15278
P_493,Private property,2480000,1,Resale,1,North,Semi-Furnished,Freehold,1,1,Ready to Move,,350,6613
P_494,Private property,4500000,2,Resale,1,West,Semi-Furnished,Freehold,2,1,Ready to Move,,95,5000
P_495,Private property,6000000,3,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,817,7344
P_496,Private property,10000000,1,Resale,4,East,Semi-Furnished,Freehold,1,1,Ready to Move,,155,64516
P_497,Private property,4600000,3,Resale,3,South -West,Furnished,Freehold,2,1,Ready to Move,,80,6389
P_498,Private property,19100000,4,Resale,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1150,15280
P_499,Private property,6000000,1,Resale,1,East,Semi-Furnished,Freehold,1,1,Ready to Move,,300,12000
P_500,Private property,1700000,1,Resale,1,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/laxmi-silver-park-krishna-nagar-new-delhi-pdpid-4d4235323132333039,400,4250
P_501,Private property,4100000,1,Resale,1,North - East,Unfurnished,Freehold,1,1,Ready to Move,https://www.magicbricks.com/lamba-new-rohini-builder-floors-rohini-sector-25-new-delhi-pdpid-4d4235313035373435,515,7961
P_502,Private property,2200000,2,Resale,2,East,Unfurnished,Freehold,2,1,Ready to Move,,312,6490
P_503,Private property,11500000,3,Resale,3,North,Unfurnished,Freehold,2,1,Ready to Move,,1100,10455
P_504,Private property,10000000,4,Resale,4,East,Semi-Furnished,Freehold,3,1,Ready to Move,,1200,8333
P_505,Private property,2550000,2,Resale,1,South,Semi-Furnished,Freehold,1,1,Ready to Move,,450,5667
P_506,Private property,52000000,3,New Property,1,North,Semi-Furnished,Freehold,2,1,Ready to Move,,1700,30588
P_507,Private property,3000000,3,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,750,4000
P_508,Private property,2500000,1,New Property,0,East,Unfurnished,Freehold,1,1,Ready to Move,,35,7937
P_509,Private property,58000000,3,Resale,12,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/godrej-south-estate-okhla-new-delhi-pdpid-4d4235313235323335,2752,21076
P_510,Private property,32000000,3,Resale,0,East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/ganga-duplex-vasant-kunj-new-delhi-pdpid-4d4235313732383237,2200,14545
P_511,Private property,8000000,3,Resale,0,East,Semi-Furnished,Freehold,2,1,Ready to Move,,100,8889
P_512,Private property,9500000,2,Resale,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,900,8636
P_513,Private property,26000000,3,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1750,14857
P_514,Private property,15500000,3,Resale,6,East,Unfurnished,Freehold,3,1,Under Construction,,1600,10000
P_515,Private property,4500000,2,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,70,10000
P_516,Private property,4000000,2,Resale,2,East,Furnished,Freehold,2,1,Ready to Move,,516,7752
P_517,Private property,2550000,2,Resale,1,South,Semi-Furnished,Freehold,1,1,Ready to Move,,450,5667
P_518,Private property,4600000,3,Resale,1,East,Furnished,Freehold,2,1,Ready to Move,,900,4600
P_519,Private property,8200000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,60,12696
P_520,Private property,3500000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,620,5645
P_521,Private property,2800000,2,Resale,3,East,Semi-Furnished,Freehold,2,1,Ready to Move,,60,5185
P_522,Private property,82500000,5,Resale,4,East,Semi-Furnished,Freehold,5,1,Ready to Move,,525,157143
P_523,Private property,2000000,1,Resale,3,East,Semi-Furnished,Freehold,1,1,Ready to Move,,33,5630
P_524,Private property,15000000,3,Resale,0,East,Unfurnished,Freehold,3,1,Ready to Move,,1125,13333
P_525,Private property,6200000,3,Resale,1,East,Unfurnished,Freehold,2,1,Ready to Move,,900,6200
P_526,Private property,3600000,2,New Property,2,North - East,Semi-Furnished,Power Of Attorney,2,1,Ready to Move,,680,4800
P_527,Private property,25000000,3,Resale,3,North,Unfurnished,Freehold,3,2,Ready to Move,,1850,13514
P_528,Private property,7500000,2,Resale,1,East,Unfurnished,Freehold,2,1,Ready to Move,,950,6944
P_529,Private property,9000000,2,Resale,2,East,Semi-Furnished,Freehold,2,1,Ready to Move,,98,9091
P_530,Private property,5600000,2,Resale,4,North,Semi-Furnished,Freehold,2,1,Ready to Move,,704,6829
